tt,#genre
CNN HD,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11977
BBC News HD,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11958
Sky News,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12068
Fox News HD,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12001
Nat Geo,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12030


test,#genre
Sky Movies Action & Adv,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12058
Sky Movies Comedy,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12059
Sky Movies Drama,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12060
Sky Movies Family,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12061
Sky Movies Modern-Geant,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12062
Sky Movies Premiere,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12063
Sky Movies Sci-Fi,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12064
Sky Movies Select,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12065
Sky Movies Showcase,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12066
Sky One,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12069
Starz TV,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12075
Syfy.,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12076
True Movies 1,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12085
Travel Channel,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/12082
BBC One,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11943
BBC Two,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11944
BBC Three,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11945
BBC Four,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11946
BBC Parliament,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11954
BBC Alba,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11955
CBeebies HD,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11956
BBC News HD,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11958
Itv 1,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11960
Itv 2,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11961
Itv 3,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11962
Itv 4,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11963
Channel 4 HD,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11964
Channel 5 HD,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11965
Blaze,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11966
Bloomberg,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11967
Boomerang,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11968
Cartoon network,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11969
Cartoonito,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11970
CBS Action,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11971
CBS Justice,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11972
CBS Reality,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11973
Challenge,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11974
CNN HD,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11977
Comedy Central Extra,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11978
Comedy Central HD,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11979
Crime & Investigation HD,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11980
Dave HD,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11981
Discovery,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11982
Discovery History,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11983
Discovery Science,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11984
Discovery Turbo,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11985
Discovery Shed,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11986
Disney HD,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11987
Disney XD,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11988
DMAX HD,http://redirektamar.ddns.net:8000/R2E5Dir3kCiJ1Q/oXFvX0yRK9/11989
