TEST,#genre#
DUK| ITV 4 HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/69303
UK| 5 USA HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9080
UK| RTE TWO HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9081
UK| RTE ONE HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9082
UK| MORE 4 HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9083
UK| E4 HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9084
UK| CHANNEL 4 HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9484
UK| SKY SPORTS F1 HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9485
UK| CITV HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9486
UK| SKY SPORTS PREMIER LEAGUE HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9487
UK| ITV BE HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9488
UK| SKY SPORTS MAIN EVENT HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9489
UK| SKY SPORTS GOLF HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9490
UK| SKY SPORTS CRICKET HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9492
UK| SKY SPORTS ARENA HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9493
UK| ITV 3 HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9494
UK| SKY SPORTS MIX HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9495
UK| ITV 2 HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9496
UK| SKY SPORTS ACTION HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9497
UK| SKY SPORTS NEWS HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9498
